user_id,business_id,stars
ak0TdVmGKo4pwqdJSTLwWw,buF9druCkbuXLX526sGELQ,4.0
YoVfDbnISlW0f7abNQACIg,RA4V8pr014UyUbDvI-LW2A,4.0
eC5evKn1TWDyHCyQAwguUw,_sS2LBIGNT5NQb6PD1Vtjw,5.0
SFQ1jcnGguO0LYWnbbftAA,0AzLzHfOJgL7ROwhdww2ew,2.0
0kA0PAJ8QFMeveQWHFqz2A,8zehGz9jnxPqXtOc7KaJxA,4.0
RNm_RWkcd02Li2mKPRe7Eg,xGXzsc-hzam-VArK6eTvtw,1.0
Q8c91v7luItVB0cMFF_mRA,EXOsmAB1s71WePlQk0WZrA,2.0
XGkAG92TQ3MQUKGX9sLUhw,DbXHNl890xSXNiyRczLWAg,5.0
LWUnzwK0ILquLLZcHHE1Mw,mD-A9KOWADXvfrZfwDs-jw,4.0
99RsBrARhhx60UnAC4yDoA,EEHhKSxUvJkoPSzeGKkpVg,5.0
eLAYHxHUutiXswy-CfeiUw,WQFn1A7-UAA4JT5YWiop_w,1.0
Ngl83gs3n22SzLAsNw2znw,iZxfWlfNPXV_0S1xO8QNSQ,2.0
hn0ZbitvmlHnF--KJGJ6_A,TA1KUSCu8GkWP9w0rmElxw,4.0
B7YSV6r1ePAXc69FkDDuZw,wZgUAuDuEGPEzKK-PsngKQ,1.0
xpxWG7jQXZE6BcSeuIq4PQ,mw_qxZJraNu7Q6u0GkcMew,5.0
HvpNr0ohHCaVLp014CQrdw,gGvNgShksetPoimyKV8I9Q,4.0
bUHweiErUJ36WGeNrPmEbA,6Hm2FmfLcU_M91TrZI5htA,5.0
JHXQEayrDHOWGexs0dCviA,KXCXaF5qimmtKKqnPc_LQA,1.0
DECuRZwkUw8ELQZfNGef2Q,zmZ3HkVCeZPBefJJxzdJ7A,4.0
jySmPCkEkJR3cWJlkEs9cw,ZW7aI5FO_3q_vSzI4_zx-Q,5.0
1RCRKuHgP3FskGUVnmFdxg,mOnesB4IF9j6-ZmHoOHOig,4.0
ltn9yaWIarK_o4DeMT1duA,MJYb0fioM-X7jc_0RIYyqQ,4.0
vFnYYmtVwcMGyyGesNImVQ,jMz_y_-cWMfiZF7Q5snE6Q,5.0
d01SZKYmReEar7varZB0HQ,I2OblwJG8_XzFxxoHU0vVQ,4.0
ffJp-ZN80M4sSkDL8Ra18w,WDGeeyeK7bG0cvq_ZglAdA,1.0
7x863PREK98UuCxYpOszIw,ISBs1ARjIFCXGWqPmGSMog,5.0
9d22a-5XXvsZ55p04gI5jA,_gOz7-aHMyGUHOtjDrEv2w,2.0
ednTYrjsoD3HtpZ-Z29SAQ,AW_dMex_BXFzgBJFxAjDuQ,5.0
QpsbLV8dNFI9cxhrBGA0Rw,tiKV9b0b2kpaGm5a-nd1ig,4.0
SIP1Dfwy1M0HWzdgGg9H9g,I-qL4zwr62710OJBtVv28A,4.0
pRPT3vqhqpU7kHgmKJamvw,-_GnwXmzC3DXsHR9nyaC2g,3.0
UwgDUYmon6Ob-5pVIYmzkQ,CF2k7avLtV246iJwp16J7Q,5.0
Df1kUPqooB1FrnwvXi5HsQ,Qydynzc1ApxsSkVNEgPs9A,1.0
FPafIu-ul1pFUCM2J-fP_A,dWBKYjQ3q2v2dOjsfLLxDg,1.0
s4NgvdIfBH3UQdccWCyARg,IdXHHEUH4ebcxdRxCo3JNw,3.0
T9O5pkKKlNvr-qqfefDlbA,luOZQ9YBrWwP8mYrS4rNoA,4.0
_soZ9DRjCF7Op7Us8bxSSA,p2BkIrOuIsxGqtV0lwOZUw,3.0
XBS1K_IzAya1uGpJwTk4GQ,AvXqLbcGCxdIEF_qZTY0Kw,5.0
hcItyz0modqnxavedxxNBQ,xPo2OA5_wQgUEzAr-1o1Lg,5.0
g-1DDTwuJArYg2ZHolRAOw,vRrDTIW9IFBO4cc3laazUw,5.0
M20pTzUOo2yD5Cuh5shjSA,M4jkJHewQXZvDV34Tuon8g,1.0
uUrXZ2guG27PQUeR6u8K3w,WtDOs3a6k_oPJmwiDh4qBQ,2.0
LV1ME-ibA2h0IGyFUUWhaQ,H_RM2u1WWGU1HkKZrYq2Ow,5.0
whAYipnvcovnm4CXYuo9cw,zWp3VbtS1p6PEdOxImpL1A,5.0
I4cfBoRWEhB90HBdjh8z5Q,Ld88I1LFRlxnFlQVIoHAJw,5.0
JuM-lH05m6Ln8OPUTg8p0g,H_RM2u1WWGU1HkKZrYq2Ow,5.0
Sy_D4Tt_XJXSb03UigFZTA,EuiU19EjhybpGLXqBzntgw,1.0
IMfkbLVt_GJfD7zJ9T4fcw,VPqWLp9kMiZEbctCebIZUA,3.0
XpmQ4Ik5YxckGRfBxeekZA,J7KvI94QUxab29LLeG6bew,5.0
u2xPfv6_wcKt-lW-C1cV8A,9P-lp3AWDXGayDqJz9VPwQ,2.0
k0d3Jnxulohu1HdJj1Hfkg,PYDzfxSLUCCwQysbOkFSVA,4.0
rb8O5KymPpxL3D43B_7sQw,g3pXGPRKYd_WQxLT2IFPxQ,1.0
0mMzTnLxrHfizEIUa7wujw,LAhRM37ofCq5f4nCM20aCA,5.0
7zEJt0NVl-lMiMwkCsvteg,8zehGz9jnxPqXtOc7KaJxA,2.0
njEa-gaTTxMueydgu0gUkg,jdAHMkNHejuvOk9vE6wGWA,3.0
OSsqq7CzBdAbF7E6kZHd0g,bZiIIUcpgxh8mpKMDhdqbA,3.0
4cDqW9sWnZ57tsIEiElJWw,0nMbLN0B5I-2tNnQLSo86w,5.0
1hrlsEQ8l43jK4aXqQknGg,wVlxPWwFL-MrzCXim-UfWg,5.0
